"","...1","price","ranks","title","no_of_copies_sold","ratings","author","cover_type","year","genre"
"94",93,17.89,96,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",766,3.5,"Gallup","Hardcover",2009,"Non Fiction"
"95",94,16.14,97,"Same Kind of Different As Me",4841,4.7,"Ron Hall","Paperback",2009,"Fiction"
"96",95,12.85,98,"U is for Undertow: A Kinsey Millhone Novel",2801,4.6,"Sue Grafton","Hardcover",2009,"Fiction"
"97",96,9.49,99,"Catching Fire (The Hunger Games)",32459,4.7,"Suzanne Collins","Hardcover",2009,"Fiction"
"98",97,11.93,1,"The Girl Who Kicked the Hornet's Nest (Millennium Trilogy)",11051,4.7,"Stieg Larsson","Hardcover",2010,"Fiction"
"99",98,9.49,2,"The Girl with the Dragon Tattoo (Millennium Series)",15466,4.5,"Stieg Larsson","Paperback",2010,"Fiction"
"100",99,8.96,3,"Decision Points",2399,4.6,"George W. Bush","Hardcover",2010,"Non Fiction"
"101",100,13.78,4,"The Help",18068,4.8,"Kathryn Stockett","Hardcover",2010,"Fiction"
"102",101,11.12,5,"The Girl Who Played with Fire (Millennium Series)",10693,4.7,"Stieg Larsson","Paperback",2010,"Fiction"
"103",102,11.71,6,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",10589,4.8,"Jeff Kinney","Hardcover",2010,"Fiction"
"104",103,18.29,7,"StrengthsFinder 2.0",7082,4.1,"Gallup","Hardcover",2010,"Non Fiction"
"105",104,9.08,8,"Mockingjay (The Hunger Games)",37034,4.6,"Suzanne Collins","Hardcover",2010,"Fiction"
"106",105,13.92,9,"Women Food and God: An Unexpected Path to Almost Everything",1967,4.4,"Geneen Roth","Hardcover",2010,"Non Fiction"
"107",106,24.29,10,"Publication Manual of the American Psychological Association, 6th Edition",12674,4.5,"American Psychological Association","Paperback",2010,"Non Fiction"
"108",107,22,11,"Autobiography of Mark Twain, Vol. 1",612,4.4,"Mark Twain","Hardcover",2010,"Non Fiction"
