"","book_id","ranks","ratings"
"858",11617,66,4.7
"859",12998,67,4.7
"860",14131,68,4.6
"861",13887,69,4.3
"862",11346,70,4.6
"863",13409,71,NA
"864",13823,72,4.9
"865",13948,73,4.8
"866",11537,74,4.6
"867",13552,75,4.8
"868",14324,76,4.8
"869",14163,77,4.6
"870",14049,78,4.6
"871",11432,79,4.7
"872",14415,80,4.4
"873",14942,81,4.8
"874",12954,82,4.7
"875",13210,NA,4.6
"876",12418,NA,4.7
"877",12170,85,4.7
"878",14904,86,4.9
"879",14949,87,4.6
"880",13741,88,4.9
"881",13974,89,4.8
"882",14278,90,4.7
"883",12236,91,4.6
"884",12333,92,4.8
"885",13322,93,4.3
"886",13666,94,4.7
"887",11786,95,4.7
"888",11772,96,4.7
"889",11212,97,4.8
"890",14679,98,NA
"891",12379,99,4.8
"892",13408,100,4.9
"893",13446,1,4.8
"894",13617,2,4.6
"895",11727,3,4.8
"896",11402,4,NA
"897",11330,5,4.5
"898",14261,6,4.9
"899",13017,7,4.8
"900",11925,8,4.8
"901",14621,9,NA
"902",12005,10,4.6
"903",13702,11,4.7
"904",12737,12,4.3
"905",14285,13,4.8
"906",13592,14,4.8
"907",12587,15,4.7
"908",14651,16,4.9
"909",14866,17,4.7
"910",13323,18,4.7
"911",11633,19,4.4
"912",12050,20,4.8
"913",13975,21,4.9
"914",14119,22,4.8
"915",13172,23,4.9
"916",14609,24,4.4
"917",14800,25,4.8
"918",11839,26,4.4
"919",11826,27,4.7
"920",12196,28,4.9
"921",12574,29,4.7
"922",12548,30,4.9
"923",13196,NA,4.5
"924",11007,32,NA
"925",13466,33,4.8
"926",11729,34,NA
"927",11499,35,4.9
"928",11508,36,4.9
"929",11901,37,4.8
"930",11170,38,4.6
"931",11560,39,4.7
"932",11441,40,4.9
"933",14501,41,4.4
"934",12490,42,4.7
"935",11232,43,4.5
"936",12667,44,4.8
"937",11847,45,4.4
"938",14702,46,4.8
"939",13627,47,4.4
"940",11626,48,4.7
"941",12273,49,4.6
"942",12202,50,4.8
"943",14680,51,4.7
"944",12062,52,4.8
"945",12286,53,4.8
"946",12877,54,4.6
"947",13882,55,4.8
"948",12009,56,4.7
"949",11358,57,4.2
"950",11733,58,4.9
"951",13004,59,4.7
"952",12906,60,4.8
"953",14973,61,4.6
"954",11171,62,4.7
"955",11001,NA,4.6
"956",11058,64,4.7
"957",12204,65,4.5
"958",14673,66,4.6
"959",14018,67,4.8
"960",12298,68,4.6
"961",12149,69,NA
"962",12921,70,4.9
"963",14772,71,4.6
"964",13249,72,4.9
"965",11809,73,4.8
"966",14995,74,4.4
"967",13811,75,4.9
"968",11165,76,4.6
"969",14797,77,4.1
"970",14668,78,4.8
"971",11530,79,4.8
"972",13697,80,4.7
"973",14303,81,4.8
"974",13757,82,4.5
"975",14237,83,4.4
"976",11987,84,4.8
"977",12967,85,4.7
"978",14034,86,4.7
"979",12932,87,4.7
"980",11158,88,4.7
"981",12568,89,4.7
"982",11074,90,4.8
"983",11449,NA,4.4
"984",12088,92,4.7
"985",14522,93,4.5
"986",13185,94,4.8
"987",14391,95,4.8
"988",14999,96,4.7
"989",12497,NA,4.7
"990",14836,98,4.9
"991",14031,99,4.9
"992",14106,1,4.8
"993",13033,2,4.8
"994",14986,3,4.7
"995",12234,4,4.9
"996",14347,5,4.6
"997",13079,6,4.9
"998",11515,7,4.9
"999",11703,8,4.9
"1000",13633,9,4.8
"1001",14843,10,4.8
"1002",13679,11,4.6
"1003",13432,12,4.8
"1004",12702,13,NA
"1005",11474,14,4.6
"1006",14098,15,4.8
"1007",14739,16,4.9
"1008",12159,NA,4.8
"1009",11087,18,4.8
"1010",11054,19,4.8
"1011",13100,20,4.7
"1012",11525,21,4.9
"1013",11890,NA,4.9
"1014",11389,23,4.8
"1015",12053,24,4.8
"1016",14005,25,4.9
"1017",14938,26,4.5
"1018",11538,27,4.8
"1019",14983,28,4.5
"1020",11329,29,4.9
"1021",13159,30,4.8
"1022",14827,31,4.4
"1023",14823,32,4.8
"1024",13374,33,4.6
"1025",12373,34,4.9
"1026",12032,35,4.3
"1027",12304,36,4.8
"1028",12685,37,4.9
"1029",11815,38,4.9
"1030",11824,39,4.5
"1031",12623,40,4.8
"1032",14239,41,4.8
"1033",13637,42,4.7
"1034",11674,43,4.8
"1035",12917,44,4.8
"1036",12788,45,4.5
"1037",12250,46,4.7
"1038",12181,47,4.7
"1039",11685,NA,4.9
"1040",14765,49,4.7
"1041",12217,50,4.5
"1042",13277,51,4.7
"1043",12826,52,4.7
"1044",13909,53,4.7
"1045",12507,54,4.6
"1046",14427,55,4.8
"1047",11690,56,NA
"1048",13685,NA,4.8
"1049",12814,58,4.8
"1050",14776,59,4.7
"1051",12294,60,4.7
"1052",13376,61,4.6
"1053",11172,62,4.8
"1054",13938,63,4.8
"1055",14336,64,4.8
"1056",14070,65,4.7
"1057",14289,66,4.5
"1058",11726,67,4.9
"1059",14040,68,NA
"1060",11653,69,4.8
"1061",13583,70,4.4
"1062",13688,71,4.6
"1063",11014,72,4.1
"1064",14652,73,4.8
"1065",14555,74,4.5
"1066",11721,75,4.8
"1067",12595,76,4.7
"1068",11926,77,4.7
"1069",14420,78,4.7
"1070",11407,79,4.5
"1071",12024,80,4.8
"1072",13945,81,4.8
"1073",11768,82,4.9
"1074",14596,83,4.4
"1075",11831,84,4.9
"1076",13963,NA,4.8
"1077",12888,86,4.7
"1078",13234,87,4.8
"1079",14763,88,4.6
"1080",12354,NA,4.8
"1081",12885,90,4.5
"1082",11262,91,4.4
"1083",13876,92,NA
"1084",11380,93,4.7
"1085",12154,94,4.8
"1086",14881,95,4.8
"1087",11109,96,4.7
"1088",11875,NA,NA
"1089",14714,98,4.6
"1090",14405,99,4.8
"1091",12188,100,4.6
"1092",11559,1,4.9
"1093",12022,2,4.6
"1094",12026,3,4.8
"1095",14306,4,4.8
"1096",13146,5,4.8
"1097",14617,6,4.6
"1098",12501,7,4.8
"1099",14919,8,4.5
"1100",14533,9,4.8
"1101",14408,10,4.3
"1102",12666,11,4.7
"1103",13313,12,4.9
"1104",12866,13,4.9
"1105",14020,14,4.8
"1106",14890,15,4.7
"1107",13094,16,4.7
"1108",14036,17,4.6
"1109",11898,18,4.8
"1110",11497,19,NA
"1111",11775,20,4.8
"1112",14267,NA,4.6
"1113",12386,22,4.8
"1114",13242,23,4.5
"1115",11491,24,4.9
"1116",11155,25,4.8
"1117",14994,26,4.9
"1118",12416,27,4.8
"1119",11867,28,4.7
"1120",13875,29,4.8
"1121",14195,NA,4.8
"1122",14655,NA,4.9
"1123",11369,32,4.8
"1124",13088,33,4.9
"1125",12741,34,4.4
"1126",14374,35,4.8
"1127",14128,36,4.8
"1128",13295,37,4.8
"1129",13184,NA,4.8
"1130",12070,39,4.8
"1131",13787,40,4.8
"1132",13900,41,4.8
"1133",11949,42,4
"1134",12682,43,NA
"1135",12865,44,4.7
"1136",13678,45,4.9
"1137",12030,46,4.8
"1138",13153,47,4.6
"1139",14803,NA,4.7
"1140",11221,49,4.7
"1141",12522,NA,4.7
"1142",11263,NA,4.5
"1143",11241,52,4.6
"1144",11564,53,4.7
