"","X","...1","price","ranks","title","no_of_copies_sold","ratings","author","cover_type","year","genre","book_id"
"18",18,17,31.61,18,"Under the Dome: A Novel",9110,4.4,"Stephen King","Hardcover",2009,"Fiction",12511
"19",19,18,10.42,19,"The Guernsey Literary and Potato Peel Pie Society",14884,4.7,"Mary Ann Shaffer","Paperback",2009,"Fiction",14582
"20",20,19,10.76,20,"Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution",929,4.5,"David Zinczenko","Paperback",2009,"Non Fiction",12639
"21",21,20,10.5,21,"Arguing with Idiots: How to Stop Small Minds and Big Government",895,4.6,"Glenn Beck","Hardcover",2009,"Non Fiction",13995
"22",22,21,28.49,22,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",7568,4.8,"Julia Child","Hardcover",2009,"Non Fiction",11426
"23",23,22,82.15,23,"Sookie Stackhouse",995,4.7,"Charlaine Harris","Mass Market Paperback",2009,"Fiction",12125
"24",24,23,9.99,24,"The Time Traveler's Wife",6592,4.5,"Audrey Niffenegger","Paperback",2009,"Fiction",14514
"25",25,24,24.29,25,"Publication Manual of the American Psychological Association, 6th Edition",12674,4.5,"American Psychological Association","Paperback",2009,"Non Fiction",13615
"26",26,25,13.98,26,"True Compass: A Memoir",509,4.5,"Edward M. Kennedy","Hardcover",2009,"Non Fiction",12403
"27",27,26,9.49,27,"The Girl with the Dragon Tattoo (Millennium Series)",15466,4.5,"Stieg Larsson","Paperback",2009,"Fiction",11011
"28",28,27,16.6,28,"The 5000 Year Leap",2565,4.8,"W. Cleon Skousen","Paperback",2009,"Non Fiction",12446
"29",29,28,16.5,29,"Good to Great: Why Some Companies Make the Leap and Others Don't",5803,4.5,"Jim Collins","Hardcover",2009,"Non Fiction",11566
"30",30,29,23.9,30,"Eclipse (Twilight Sagas)",12771,4.7,"Stephenie Meyer","Paperback",2009,"Fiction",12940
"31",31,30,13.2,31,"Where the Wild Things Are",32044,4.9,"Maurice Sendak","Hardcover",2009,"Fiction",12979
"32",32,31,20.72,32,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",6262,4.6,"Patrick Lencioni","Hardcover",2009,"Non Fiction",13977
"33",33,32,8.77,33,"Olive Kitteridge",11519,4.3,"Elizabeth Strout","Paperback",2009,"Fiction",14595
"34",34,33,11.74,34,"Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood)",2790,4.7,"Charlaine Harris","Hardcover",2009,"Fiction",11181
"35",35,34,14.97,35,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",1158,4.3,"David Zinczenko","Paperback",2009,"Non Fiction",11049
"36",36,35,17.54,36,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",2373,4.6,"Steven D. Levitt","Hardcover",2009,"Non Fiction",14671
"37",37,36,12.99,37,"The Tipping Point: How Little Things Can Make a Big Difference",5732,4.4,"Malcolm Gladwell","Paperback",2009,"Non Fiction",12475
"38",38,37,16.48,38,"Crazy Love: Overwhelmed by a Relentless God",1920,4.7,"Francis Chan","Paperback",2009,"Non Fiction",12784
"39",39,38,10.44,NA,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",14955,4.8,"Rick Riordan","Hardcover",2009,"Fiction",12414
"40",40,39,9.09,40,"The Elegance of the Hedgehog",3486,4.2,"Muriel Barbery","Paperback",2009,"Fiction",13591
"41",41,40,9.8,41,"I, Alex Cross",3242,4.6,"James Patterson","Hardcover",2009,"Fiction",12543
"42",42,41,22.8,42,"The Girl Who Played with Fire (Millennium)",10693,4.7,"Stieg Larsson","Hardcover",2009,"Fiction",13481
"43",43,42,14.95,43,"The Last Lecture",5899,NA,"Randy Pausch","Hardcover",2009,"Non Fiction",14616
"44",44,43,14.72,44,"The Five Love Languages: How to Express Heartfelt Commitment to Your Mate",886,4.6,"Gary Chapman","Paperback",2009,"Non Fiction",11997
"45",45,44,33.99,45,"Watchmen",7746,4.8,"Alan Moore","Paperback",2009,"Fiction",12279
"46",46,45,19.99,46,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change",1676,4.6,"Stephen R. Covey","Paperback",2009,"Non Fiction",12598
"47",47,46,25,47,"The Book of Basketball: The NBA According to The Sports Guy",1387,4.7,"Bill Simmons","Hardcover",2009,"Non Fiction",11732
"48",48,47,16,48,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All Universes",60,4.6,"Zhi Gang Sha","Hardcover",2009,"Non Fiction",11736
"49",49,48,21.98,51,"Diary of a Wimpy Kid Do-it-yourself Book",9371,4.8,"Jeff Kinney","Hardcover",2009,"Fiction",12274
"50",50,49,15.71,NA,"Open: An Autobiography",8639,4.7,"Andre Agassi","Hardcover",2009,"Non Fiction",13290
"51",51,50,9.78,53,"Pride and Prejudice and Zombies",2047,4.3,"Jane Austen","Paperback",2009,"Fiction",11700
"52",52,51,10.95,54,"Cook Yourself Thin: Skinny Meals You Can Make in Minutes",888,4.3,"Lifetime Television,","Paperback",2009,"Non Fiction",12428
"53",53,52,9.54,55,"Hungry Girl: 200 Under 200: 200 Recipes Under 200 Calories",901,4.4,"Lisa Lillien","Paperback",2009,"Non Fiction",12974
"54",54,53,18.49,56,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",11833,4.7,"Christopher McDougall","Hardcover",2009,"Non Fiction",13814
"55",55,54,7.96,57,"A Bold Fresh Piece of Humanity",764,4.7,"Bill O'Reilly","Hardcover",2009,"Non Fiction",14240
"56",56,55,14.52,58,"The Pioneer Woman Cooks: Recipes from an Accidental Country Girl",5477,4.8,"Ree Drummond","Hardcover",2009,"Non Fiction",12617
"57",57,56,6.99,59,"The Book Thief",34536,4.7,"Markus Zusak","Paperback",2009,"Fiction",14537
"58",58,57,15.85,60,"South of Broad",2484,4.5,"Pat Conroy","Hardcover",2009,"Fiction",13914
"59",59,58,10.33,61,"The Omnivore's Dilemma: A Natural History of Four Meals",3678,4.6,"Michael Pollan","Paperback",2009,"Non Fiction",12142
"60",60,59,20.58,62,"The Host",9715,4.6,"Stephenie Meyer","Hardcover",2009,"Fiction",14717
"61",61,60,9.79,63,"Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!",929,4.3,"Jillian Michaels","Hardcover",2009,"Non Fiction",12519
"62",62,61,11.3,64,"Ford County: Stories",4306,4.4,"John Grisham","Hardcover",2009,"Fiction",14356
"63",63,62,9.06,65,"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies",1094,4.6,"Michelle Malkin","Hardcover",2009,"Non Fiction",12316
"64",64,63,11.04,66,"Blink: The Power of Thinking Without Thinking",8638,4.5,"Malcolm Gladwell","Paperback",2009,"Non Fiction",14864
"65",65,64,16.97,67,"Diary of a Wimpy Kid, Book 1",16590,4.8,"Jeff Kinney","Hardcover",2009,"Fiction",13340
"66",66,65,15.2,68,"The Graveyard Book",7133,4.7,"Neil Gaiman","Hardcover",2009,"Fiction",11960
"67",67,66,28.99,69,"An Echo in the Bone (Outlander)",16893,4.8,"Diana Gabaldon","Hardcover",2009,"Fiction",12008
"68",68,67,19.81,70,"The Gathering Storm (Wheel of Time, Book 12)",6337,NA,"Robert Jordan","Hardcover",2009,"Fiction",13117
"69",69,68,16.99,71,"Dreams from My Father: A Story of Race and Inheritance",7581,4.7,"Barack Obama","Paperback",2009,"Non Fiction",13896
"70",70,69,14.49,72,"Pirate Latitudes: A Novel",2837,4.3,"Michael Crichton","Hardcover",2009,"Fiction",12583
"71",71,70,6.21,73,"The Official SAT Study Guide: For the New SAT (tm)",267,4.5,"The College Board","Paperback",2009,"Non Fiction",14460
"72",72,71,24.95,74,"Getting Things Done: The Art of Stress-Free Productivity",4736,4.6,"David Allen","Paperback",2009,"Non Fiction",13543
"73",73,72,10.5,75,"How to Win Friends & Influence People",79094,4.7,"Dale Carnegie","Paperback",2009,"Non Fiction",14086
"74",74,73,41,76,"The Official SAT Study Guide",1526,4.4,"The College Board","Paperback",2009,"Non Fiction",13112
"75",75,74,14.01,77,"Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels)",3294,4.6,"Janet Evanovich","Hardcover",2009,"Fiction",11976
"76",76,75,10.83,78,"Sarah's Key",4784,4.6,"Tatiana de Rosnay","Paperback",2009,"Fiction",12509
"77",77,76,7.99,79,"From Dead to Worse (Sookie Stackhouse/True Blood)",2080,4.7,"Charlaine Harris","Mass Market Paperback",2009,"Fiction",11248
"78",78,77,34.23,80,"Wolf Hall",10808,4.1,"Hilary Mantel","Hardcover",2009,"Fiction",12910
"79",79,78,22.6,81,"The Hunger Games",42770,4.7,"Suzanne Collins","Hardcover",2009,"Fiction",14132
"80",80,79,13.2,82,"The Yankee Years",425,4.6,"Joe Torre","Hardcover",2009,"Non Fiction",14729
"81",81,80,23.95,83,"Push: A Novel",1477,4.6,"Sapphire","Paperback",2009,"Fiction",11506
"82",82,81,14.95,84,"The End of Overeating: Taking Control of the Insatiable American Appetite",956,4.3,"David Kessler","Hardcover",2009,"Non Fiction",13621
"83",83,82,11.52,85,"The Lacuna: A Novel",1787,4.3,"Barbara Kingsolver","Hardcover",2009,"Fiction",14125
"84",84,83,17.99,86,"Crucial Conversations: Tools for Talking When Stakes are High",772,4.5,"Kerry Patterson","Paperback",2009,"Non Fiction",14140
"85",85,84,10.97,87,"Half the Sky: Turning Oppression into Opportunity for Women Worldwide",2194,4.7,"Nicholas D. Kristof","Hardcover",2009,"Non Fiction",12728
"86",86,85,11.95,NA,"The Associate",3826,4.4,"John Grisham","Hardcover",2009,"Fiction",13106
"87",87,86,22.72,89,"Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking",2189,4.7,"Jeff Hertzberg","Hardcover",2009,"Non Fiction",12326
"88",88,87,9.99,90,"Three Cups of Tea: One Man's Journey to Change the World... One Child at a Time (Young Reader's Edition)",312,4.5,"Sarah Thomson","Paperback",2009,"Non Fiction",14000
"89",89,88,9.31,91,"Pursuit of Honor",3525,NA,"Vince Flynn","Hardcover",2009,"Fiction",13654
"90",90,89,23.65,92,"What the Dog Saw: And Other Adventures",2143,4.6,"Malcolm Gladwell","Hardcover",2009,"Non Fiction",11556
"91",91,90,13.99,NA,"The Last Song",3597,4.7,"Nicholas Sparks","Hardcover",2009,"Fiction",12589
"92",92,91,17.99,NA,"Atlas Shrugged",14137,4.5,"Ayn Rand","Paperback",2009,"Fiction",11461
"93",93,92,10.79,95,"The White Tiger: A Novel",6013,4.3,"Aravind Adiga","Paperback",2009,"Fiction",14404
"94",94,93,17.89,96,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",766,3.5,"Gallup","Hardcover",2009,"Non Fiction",11911
"95",95,94,16.14,97,"Same Kind of Different As Me",4841,4.7,"Ron Hall","Paperback",2009,"Fiction",11501
"96",96,95,12.85,98,"U is for Undertow: A Kinsey Millhone Novel",2801,4.6,"Sue Grafton","Hardcover",2009,"Fiction",13219
"97",97,96,9.49,99,"Catching Fire (The Hunger Games)",32459,4.7,"Suzanne Collins","Hardcover",2009,"Fiction",14500
"98",98,97,11.93,1,"The Girl Who Kicked the Hornet's Nest (Millennium Trilogy)",11051,4.7,"Stieg Larsson","Hardcover",2010,"Fiction",12018
"99",99,98,9.49,2,"The Girl with the Dragon Tattoo (Millennium Series)",15466,4.5,"Stieg Larsson","Paperback",2010,"Fiction",11421
"100",100,99,8.96,3,"Decision Points",2399,4.6,"George W. Bush","Hardcover",2010,"Non Fiction",13557
"101",101,100,13.78,4,"The Help",18068,4.8,"Kathryn Stockett","Hardcover",2010,"Fiction",14182
"102",102,101,11.12,5,"The Girl Who Played with Fire (Millennium Series)",10693,4.7,"Stieg Larsson","Paperback",2010,"Fiction",14792
"103",103,102,11.71,6,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",10589,4.8,"Jeff Kinney","Hardcover",2010,"Fiction",14406
"104",104,103,18.29,7,"StrengthsFinder 2.0",7082,4.1,"Gallup","Hardcover",2010,"Non Fiction",14972
"105",105,104,9.08,8,"Mockingjay (The Hunger Games)",37034,4.6,"Suzanne Collins","Hardcover",2010,"Fiction",12957
"106",106,105,13.92,9,"Women Food and God: An Unexpected Path to Almost Everything",1967,4.4,"Geneen Roth","Hardcover",2010,"Non Fiction",11638
"107",107,106,24.29,10,"Publication Manual of the American Psychological Association, 6th Edition",12674,4.5,"American Psychological Association","Paperback",2010,"Non Fiction",14923
"108",108,107,22,11,"Autobiography of Mark Twain, Vol. 1",612,4.4,"Mark Twain","Hardcover",2010,"Non Fiction",14941
"109",109,108,18.24,12,"The Big Short: Inside the Doomsday Machine",5893,4.7,"Michael Lewis","Hardcover",2010,"Non Fiction",11981
"110",110,109,11.57,13,"Food Rules: An Eater's Manual",2494,4.5,"Michael Pollan","Paperback",2010,"Non Fiction",13392
"111",111,110,14.54,14,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",33629,4.8,"Laura Hillenbrand","Hardcover",2010,"Non Fiction",12210
"112",112,111,9.03,15,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",3296,4.6,"Charlaine Harris","Hardcover",2010,"Fiction",11965
"113",113,112,14.99,16,"Sh*t My Dad Says",1781,4.7,"Justin Halpern","Hardcover",2010,"Non Fiction",14026
"114",114,113,16.48,17,"Crazy Love: Overwhelmed by a Relentless God",1920,4.7,"Francis Chan","Paperback",2010,"Non Fiction",13113
"115",115,114,10.59,18,"The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga)",6165,4.7,"Stephenie Meyer","Hardcover",2010,"Fiction",13835
"116",116,115,13.8,19,"Life",4699,4.6,"Keith Richards","Hardcover",2010,"Non Fiction",11694
"117",117,116,12,20,"Cutting for Stone",6790,4.6,"Abraham Verghese","Paperback",2010,"Fiction",14213
"118",118,117,12.89,21,"The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race",576,4.5,"Jon Stewart","Hardcover",2010,"Non Fiction",13635
"119",119,118,41,22,"The Official SAT Study Guide",1526,4.4,"The College Board","Paperback",2010,"Non Fiction",12107
"120",120,119,7.92,23,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",1358,4.5,"John Heilemann","Hardcover",2010,"Non Fiction",12263
"121",121,120,14.19,24,"The Immortal Life of Henrietta Lacks",16936,4.7,"Rebecca Skloot","Hardcover",2010,"Non Fiction",11410
"122",122,121,14.53,25,"The Lost Hero (Heroes of Olympus, Book 1)",11549,NA,"Rick Riordan","Hardcover",2010,"Fiction",11168
"123",123,122,22.99,26,"Teach Like a Champion: 49 Techniques that Put Students on the Path to College",860,4.5,"Doug Lemov","Paperback",2010,"Non Fiction",14604
"124",124,123,16.04,27,"Outliers: The Story of Success",22209,4.7,"Malcolm Gladwell","Hardcover",2010,"Non Fiction",13228
"125",125,124,9.49,28,"Catching Fire (The Hunger Games)",32459,4.7,"Suzanne Collins","Hardcover",2010,"Fiction",12652
"126",126,125,20.72,29,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",6296,4.6,"Patrick Lencioni","Hardcover",2010,"Non Fiction",11723
"127",127,126,16.5,30,"Good to Great: Why Some Companies Make the Leap and Others Don't",5803,NA,"Jim Collins","Hardcover",2010,"Non Fiction",12748
"128",128,127,11.49,31,"Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time",3497,NA,"Greg Mortenson","Paperback",2010,"Non Fiction",11202
"129",129,128,17,32,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",2406,4.7,"F. A. Hayek","Paperback",2010,"Non Fiction",14859
"130",130,129,9.35,33,"The Confession: A Novel",7914,4.4,"John Grisham","Hardcover",2010,"Fiction",12751
"131",131,130,16.97,34,"Delivering Happiness: A Path to Profits, Passion, and Purpose",3242,4.6,"Tony Hsieh","Hardcover",2010,"Non Fiction",12753
"132",132,131,44.5,35,"A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror",577,4.7,"Larry Schweikart","Paperback",2010,"Non Fiction",14512
"133",133,132,10.44,36,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",14955,4.8,"Rick Riordan","Hardcover",2010,"Fiction",11233
"134",134,133,16.99,37,"Switch: How to Change Things When Change Is Hard",3912,4.6,"Chip Heath","Hardcover",2010,"Non Fiction",11080
"135",135,134,9.8,38,"The Art of Racing in the Rain: A Novel",16418,4.7,"Garth Stein","Paperback",2010,"Fiction",14696
"136",136,135,23.99,39,"The 5 Love Languages: The Secret to Love That Lasts",7012,4.7,"Gary Chapman","Paperback",2010,"Non Fiction",12464
"137",137,136,9.07,40,"Broke: The Plan to Restore Our Trust, Truth and Treasure",531,4.5,"Glenn Beck","Hardcover",2010,"Non Fiction",14196
"138",138,137,10.61,41,"The Red Pyramid (The Kane Chronicles, Book 1)",5025,4.7,"Rick Riordan","Hardcover",2010,"Fiction",14637
"139",139,138,18.9,42,"Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3)",1223,4.8,"Rick Riordan","Paperback",2010,"Fiction",12317
"140",140,139,10.2,43,"Little Bee: A Novel",1902,4.2,"Chris Cleave","Paperback",2010,"Fiction",13901
"141",141,140,15.79,44,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",1371,4.8,"Ina Garten","Hardcover",2010,"Non Fiction",12276
"142",142,141,29.22,45,"George Washington's Sacred Fire",612,NA,"Peter A. Lillback","Paperback",2010,"Non Fiction",11256
"143",143,142,9.21,46,"Radical: Taking Back Your Faith from the American Dream",2727,4.7,"David Platt","Paperback",2010,"Non Fiction",11033
"144",144,143,21.49,47,"Towers of Midnight (Wheel of Time, Book Thirteen)",7325,4.8,"Robert Jordan","Hardcover",2010,"Fiction",13288
"145",145,144,10.83,48,"Sarah's Key",4784,4.6,"Tatiana de Rosnay","Paperback",2010,"Fiction",12015
"146",146,145,22.6,49,"The Hunger Games",42770,4.7,"Suzanne Collins","Hardcover",2010,"Fiction",12415
"147",147,146,19.99,51,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change",1676,4.6,"Stephen R. Covey","Paperback",2010,"Non Fiction",14451
"148",148,147,12,52,"Cleopatra: A Life",1586,4.2,"Stacy Schiff","Hardcover",2010,"Non Fiction",13840
"149",149,148,12.23,53,"Freedom: A Novel",2718,4,"Jonathan Franzen","Hardcover",2010,"Fiction",13630
"150",150,149,17.48,NA,"Freedom",2718,4,"Jonathan Franzen","Hardcover",2010,"Fiction",13821
"151",151,150,18.49,NA,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",11833,4.7,"Christopher McDougall","Hardcover",2010,"Non Fiction",13879
"152",152,151,16.98,NA,"Fall of Giants (The Century Trilogy)",18702,4.5,"Ken Follett","Hardcover",2010,"Fiction",14689
"153",153,152,9.49,57,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",8494,4.4,"Elizabeth Gilbert","Paperback",2010,"Non Fiction",13930
"154",154,153,9.27,58,"Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia",8494,4.4,"Elizabeth Gilbert","Paperback",2010,"Non Fiction",13984
"155",155,154,27.57,59,"Tao I: The Way of All Life",88,NA,"Zhi Gang Sha Dr.","Hardcover",2010,"Non Fiction",13989
"156",156,155,9.65,60,"Chelsea Chelsea Bang Bang",1045,4.4,"Chelsea Handler","Hardcover",2010,"Non Fiction",11804
"157",157,156,8.58,61,"Let the Great World Spin: A Novel",1778,4.3,"Colum McCann","Paperback",2010,"Fiction",12764
"158",158,157,14.52,62,"The Pioneer Woman Cooks: Recipes from an Accidental Country Girl",5477,4.8,"Ree Drummond","Hardcover",2010,"Non Fiction",13269
"159",159,158,12.99,63,"The Tipping Point: How Little Things Can Make a Big Difference",5732,4.4,"Malcolm Gladwell","Paperback",2010,"Non Fiction",12518
"160",160,159,10.33,64,"The Omnivore's Dilemma: A Natural History of Four Meals",3678,4.6,"Michael Pollan","Paperback",2010,"Non Fiction",11353
"161",161,160,35.3,65,"The Belly Fat Cure: Discover the New Carb Swap Systemâ„¢ and Lose 4 to 9 lbs. Every Week",1071,4.1,"Jorge Cruise","Spiral-bound",2010,"Non Fiction",13114
"162",162,161,7.99,66,"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)",13936,4.8,"Rick Riordan","Paperback",2010,"Fiction",13299
"163",163,162,13.39,67,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",18929,4.5,"Timothy Ferriss","Hardcover",2010,"Non Fiction",12093
"164",164,163,19.59,68,"Full Dark, No Stars",3418,4.6,"Stephen King","Hardcover",2010,"Fiction",12139
"165",165,164,11.37,NA,"Sizzling Sixteen (Stephanie Plum Novels)",3421,4.6,"Janet Evanovich","Hardcover",2010,"Fiction",13786
"166",166,165,15.99,70,"The Grand Design",2790,4.5,"Stephen Hawking","Hardcover",2010,"Fiction",12879
"167",167,166,15,71,"The Overton Window",1311,4.6,"Glenn Beck","Hardcover",2010,"Fiction",13431
"168",168,167,7.53,72,"Jesus Calling, Padded Hardcover, with Scripture references",31196,4.9,"Sarah Young","Hardcover",2010,"Non Fiction",12302
"169",169,168,12.6,73,"Spoken from the Heart",668,NA,"Laura Bush","Hardcover",2010,"Non Fiction",13046
"170",170,169,21.98,74,"Diary of a Wimpy Kid Do-it-yourself Book",9371,4.8,"Jeff Kinney","Hardcover",2010,"Fiction",12257
"171",171,170,15.5,75,"The Book of Awakening: Having the Life You Want by Being Present to the Life You Have",3959,4.7,"Mark Nepo","Paperback",2010,"Non Fiction",13904
"172",172,171,28.49,76,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",7568,4.8,"Julia Child","Hardcover",2010,"Non Fiction",12673
"173",173,172,14.77,77,"Safe Haven",10931,4.7,"Nicholas Sparks","Hardcover",2010,"Fiction",11138
"174",174,173,14.3,78,"Change Your Brain, Change Your Body: Use Your Brain to Get and Keep the Body You Have Always Wanted",853,4.5,"Daniel G. Amen","Hardcover",2010,"Non Fiction",13357
"175",175,174,18.93,79,"The Kind Diet: A Simple Guide to Feeling Great, Losing Weight, and Saving the Planet",1572,4.5,"Alicia Silverstone","Hardcover",2010,"Non Fiction",11443
"176",176,175,44.99,80,"Decoded",1514,4.7,"Jay-Z","Hardcover",2010,"Non Fiction",11027
"177",177,176,12.06,81,"The Glass Castle: A Memoir (book)",19006,4.6,"Jeannette Walls","Paperback",2010,"Non Fiction",11280
"178",178,177,13.4,82,"The Shack: Where Tragedy Confronts Eternity",23392,4.7,"William P. Young","Paperback",2010,"Fiction",13539
"179",179,178,14.3,83,"Breaking Dawn (The Twilight Saga, Book 4)",16912,4.7,"Stephenie Meyer","Hardcover",2010,"Fiction",12546
"180",180,179,23.23,84,"Sookie Stackhouse 8-copy Boxed Set (Sookie Stackhouse / Southern Vampire)",1234,4.7,"Charlaine Harris","Mass Market Paperback",2010,"Fiction",14083
"181",181,180,10.42,85,"The Guernsey Literary and Potato Peel Pie Society",14884,4.7,"Mary Ann Shaffer","Paperback",2010,"Fiction",14807
"182",182,181,13.49,NA,"Hotel on the Corner of Bitter and Sweet",6239,4.6,"Jamie Ford","Paperback",2010,"Fiction",14437
"183",183,182,15.96,87,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",6580,4.4,"Timothy Ferriss","Hardcover",2010,"Non Fiction",14712
"184",184,183,17.99,88,"Crucial Conversations: Tools for Talking When Stakes are High",772,4.5,"Kerry Patterson","Paperback",2010,"Non Fiction",14789
"185",185,184,11.25,89,"Happy Ever After (Bride Quartet, Book 4)",2206,4.7,"Nora Roberts","Paperback",2010,"Fiction",11321
"186",186,185,24.33,90,"A Guide to the Project Management Body of Knowledge",726,4.4,"Project Management Institute","Paperback",2010,"Non Fiction",13475
"187",187,186,6.99,91,"The Book Thief",34536,4.7,"Markus Zusak","Paperback",2010,"Fiction",12214
"188",188,187,13.49,92,"The Catcher in the Rye",30925,4.5,"J. D. Salinger","Paperback",2010,"Fiction",11235
"189",189,188,24,93,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",5331,4.7,"Thomas Campbell","Paperback",2010,"Non Fiction",12293
"190",190,189,18.47,94,"American Assassin: A Thriller (A Mitch Rapp Novel)",8352,4.6,"Vince Flynn","Hardcover",2010,"Fiction",14659
"191",191,190,13.99,95,"Rework",5996,4.5,"Jason Fried","Hardcover",2010,"Non Fiction",13988
"192",192,191,10.98,96,"In Defense of Food: An Eater's Manifesto",2701,4.6,"Michael Pollan","Paperback",2010,"Non Fiction",11318
"193",193,192,12.92,97,"Squirrel Seeks Chipmunk: A Modest Bestiary",935,4.1,"David Sedaris","Hardcover",2010,"Fiction",13491
"194",194,193,16.13,NA,"Who Moved My Cheese",16756,4.6,"Spencer Johnson","Hardcover",2010,"Fiction",13051
"195",195,194,17.33,1,"Steve Jobs",12780,4.7,"Walter Isaacson","Hardcover",2011,"Non Fiction",11708
"196",196,195,10.24,2,"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back",17368,4.7,"Todd Burpo","Paperback",2011,"Non Fiction",14599
