"","book_id","no_of_copies_sold","price","year"
"398",13404,31196,7.53,2013
"399",13923,35546,13.59,2013
"400",14354,15237,12.2,2013
"401",13055,7789,11.87,2013
"402",13590,18656,6.79,2013
"403",14366,13007,18.44,2013
"404",12033,16915,12.79,2013
"405",12622,12114,144,2013
"406",14276,1526,41,2013
"407",12766,62087,11.06,2013
"408",11151,34536,6.99,2013
"409",13029,35698,9.67,2013
"410",13640,7012,23.99,2013
"411",12367,12674,24.29,2013
"412",13171,9701,8,2013
"413",12599,10751,4.99,2013
"414",13739,42848,8.48,2013
"415",11393,7251,16.6,2013
"416",12307,6354,54.98,2013
"417",14351,24591,12.04,2013
"418",14946,17303,12.33,2013
"419",12643,5377,15.38,2013
"420",14259,9588,32,2013
"421",11179,23805,16,2013
"422",11177,5687,4.44,2013
"423",13699,42846,22.33,2013
"424",12251,86676,7.74,2013
"425",12430,66978,15.21,2013
"426",14526,6506,17.2,2013
"427",11657,20015,13.47,2013
"428",14162,20089,14.48,2013
"429",14235,36455,14.61,2013
"430",12718,8638,13.96,2013
"431",14144,4883,14.39,2013
"432",14363,19898,9.19,2013
"433",11132,4798,13.15,2013
"434",14587,54008,4.93,2013
"435",11751,2913,12.9,2013
"436",14606,1676,19.99,2013
"437",14944,10723,9.66,2013
"438",14491,60233,13.99,2013
"439",11371,278,15.29,2013
"440",13808,3106,15.95,2013
"441",11664,7980,12.27,2013
"442",11836,68841,17.36,2013
"443",14690,6296,20.72,2013
"444",11435,33629,14.54,2013
"445",13126,18398,21.5,2013
"446",14569,29674,6.92,2013
"447",11912,27919,16.68,2013
"448",13612,29389,18,2013
"449",11744,3826,10.61,2013
"450",14928,4052,17.36,2013
"451",14736,7011,16.5,2013
"452",11692,19881,11.8,2013
"453",13850,5803,16.5,2013
"454",11427,2029,8.24,2013
"455",14464,1418,24.78,2013
"456",11204,22209,15.71,2013
"457",11222,5149,19.39,2013
"458",14186,1483,35.47,2013
"459",11125,7763,9.64,2013
"460",14050,16845,8.99,2013
"461",13726,9853,13.71,2013
"462",13477,53161,4.98,2013
"463",11885,23935,12.69,2013
"464",11855,4391,14.5,2013
"465",11444,38220,19.49,2013
"466",12347,11176,13.32,2013
"467",12502,11859,15.79,2013
"468",12756,19457,15.99,2013
"469",11273,79094,10.5,2013
"470",13426,2638,22.07,2013
"471",11691,42770,11.69,2013
"472",11795,1003,9.2,2013
"473",11191,19005,9.49,2013
"474",11787,16936,12.1,2013
"475",13086,8573,5.49,2013
"476",12901,32887,13.99,2013
"477",13186,9950,12.99,2013
"478",13183,13075,9.79,2013
"479",13645,32375,13.88,2013
"480",11613,3816,25,2013
"481",13248,30925,8.99,2013
"482",13799,13911,8.55,2013
"483",14754,2277,19.59,2013
"484",12533,4558,75.49,2013
"485",12698,24552,9.48,2013
"486",11149,22727,19.19,2013
"487",12001,7514,16.39,2013
"488",13056,2349,15.64,2013
"489",11906,463,9.87,2013
"490",12064,13380,16.25,2013
"491",14339,3901,15.59,2013
"492",13565,9887,12.8,2013
"493",12361,13061,19.81,2013
"494",14846,7082,18.29,2014
"495",13738,7183,5.91,2014
"496",12021,10751,4.99,2014
"497",12631,62089,6.1,2014
"498",11134,13520,11.99,2014
"499",14871,18840,13.3,2014
"500",14915,15170,11.49,2014
"501",12827,31196,7.53,2014
"502",12477,33629,12.79,2014
"503",13258,4838,6.99,2014
"504",14977,19898,9.19,2014
"505",14373,9701,8,2014
"506",13745,62089,11.06,2014
"507",13955,42848,8.48,2014
"508",14639,68841,17.36,2014
"509",11053,66978,15.99,2014
"510",12436,34536,6.99,2014
"511",12545,1526,41,2014
"512",13832,5377,15.38,2014
"513",12640,42846,22.33,2014
"514",14861,12114,144,2014
"515",12629,35698,9.67,2014
